cell_line,id
RPMI-7951,522
RPMI-8226,523
RPMI-8402,524
RS4-11,525
RT-112,526
RT4,527
RVH-421,528
Raji,529
SAS,530
SBC-5,531
SCC-15,532
SCC-25,533
SCC-3,534
SCC-4,535
SCC-9,536
SF126,537
SF268,538
SF295,539
SF539,540
SH-4,541
SHP-77,542
SIG-M5,543
SIMA,544
SISO,545
SJSA-1,546
SK-CO-1,547
SK-ES-1,548
SK-GT-2,549
SK-GT-4,550
SK-HEP-1,551
SK-LMS-1,552
SK-MEL-1,553
SK-MEL-2,554
SK-MEL-24,555
SK-MEL-28,556
SK-MEL-3,557
SK-MEL-30,558
SK-MEL-5,559
SK-MES-1,560
SK-MM-2,561
SK-N-AS,562
SK-N-DZ,563
SK-N-FI,564
SK-N-SH,565
SK-OV-3,566
SK-PN-DW,567
SK-UT-1,568
SKM-1,569
SKN,570
SLVL,571
SNB75,572
SNG-M,573
SNU-1,574
SNU-16,575
SNU-175,576
SNU-283,577
SNU-387,578
SNU-398,579
SNU-407,580
SNU-423,581
SNU-449,582
SNU-475,583
SNU-5,584
SNU-61,585
SNU-81,586
SNU-C1,587
SNU-C5,588
SR,589
SU-DHL-1,590
SU-DHL-10,591
SU-DHL-4,592
SU-DHL-6,593
SU-DHL-8,594
SU8686,595
SUIT-2,596
SUP-B15,597
SUP-M2,598
SUP-T1,599
SW1088,600
SW1116,601
SW1271,602
SW13,603
SW1417,604
SW1463,605
SW156,606
SW1573,607
SW1710,608
SW1783,609
SW1990,610
SW48,611
SW620,612
SW626,613
SW756,614
SW780,615
SW837,616
SW948,617
SW954,618
SW982,619
Saos-2,620
SiHa,621
T-T,622
T24,623
T47D,624
T84,625
T98G,626
TALL-1,627
TC-71,628
TCCSUP,629
TE-1,630
TE-10,631
TE-11,632
TE-15,633
TE-4,634
TE-441-T,635
TE-5,636
TE-6,637
TE-8,638
TE-9,639
TGBC11TKB,640
TGBC1TKB,641
TGW,642
THP-1,643
TOV-112D,644
TOV-21G,645
TT,646
TT2609-C02,647
TYK-nu,648
U-118-MG,649
U-2-OS,650
U-266,651
U031,652
U251,653
UACC-257,654
UACC-62,655
UACC-812,656
UACC-893,657
UM-UC-3,658
UWB1.289,659
VA-ES-BJ,660
VAL,661
VCaP,662
VMRC-RCW,663
VMRC-RCZ,664
WM-115,665
WM793B,666
WSU-DLCL2,667
WSU-NHL,668
YAPC,669
YH-13,670
YKG-1,671
ZR-75-30,672
huH-1,673
no-10,674
